time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-08-29T00:24:28.700Z,38.7905,-122.807,3.2,2.8,Md,,25.2,0,0.08,nc,nc72058656,2013-11-06T01:33:32.000Z,"4km WNW of The Geysers, California",earthquake
2013-08-29T00:09:54.500Z,38.8212,-122.813,3.3,2.5,Md,,25.2,0,0.06,nc,nc72058631,2013-09-04T00:37:33.955Z,"6km NW of The Geysers, California",earthquake
2013-08-28T04:43:05.000Z,38.762,-122.7125,1.9,3.8,Mw,,36,0.00898315,0.09,nc,nc72057971,2013-11-06T01:43:23.277Z,"4km ESE of The Geysers, California",earthquake
2013-08-18T16:32:22.400Z,38.7737,-122.7353,2.4,2.8,Md,,21.6,0.00898315,0.08,nc,nc72051756,2013-10-19T03:27:28.399Z,"1km ESE of The Geysers, California",earthquake
2013-08-15T21:25:10.600Z,38.8217,-122.7617,2.3,2.7,Md,,21.6,0.00898315,0.07,nc,nc72050016,2013-08-16T20:42:08.688Z,"3km W of Cobb, California",earthquake
2013-08-15T10:43:27.100Z,38.7942,-122.7833,4.1,2.6,Md,,21.6,0,0.06,nc,nc72049681,2013-08-16T02:03:12.685Z,"2km NW of The Geysers, California",earthquake
2013-08-10T23:22:20.100Z,36.6803,-121.3073,4.2,3,Ml,,32.4,0.02694946,0.1,nc,nc72046881,2013-10-12T21:32:34.000Z,"15km SSE of Ridgemark, California",earthquake
2013-08-09T10:37:24.600Z,36.777,-121.5077,8.8,2.6,Md,,36,0.02694946,0.16,nc,nc72045881,2013-08-10T05:59:09.824Z,"8km SSE of San Juan Bautista, California",earthquake
2013-08-09T03:10:30.800Z,36.4125,-120.9938,7.3,2.9,Md,,54,0.02694946,0.11,nc,nc72045696,2013-10-12T21:32:32.000Z,"24km ENE of Greenfield, California",earthquake
2013-08-08T13:03:16.400Z,38.8352,-122.8003,2.6,2.8,Md,,21.6,0.00898315,0.05,nc,nc72045226,2013-10-12T21:42:56.442Z,"6km WNW of Cobb, California",earthquake
2013-08-05T23:23:44.900Z,37.3172,-121.6807,8.6,2.9,Md,,39.6,0.03593261,0.12,nc,nc72043816,2013-09-25T17:45:53.000Z,"14km ESE of Alum Rock, California",earthquake
2013-08-05T19:58:40.900Z,36.8472,-120.8443,7.7,2.8,Md,,46.8,0.01796631,0.13,nc,nc72043731,2013-09-25T17:45:53.000Z,"21km SW of South Dos Palos, California",earthquake
2013-08-03T12:30:07.900Z,37.5943,-122.4275,3.9,2.8,H,,82.8,0.05389892,0.04,nc,nc72042536,2013-09-25T18:28:14.775Z,"3km W of Millbrae, California",earthquake
2013-08-02T14:36:17.100Z,37.391,-121.7392,7.8,2.8,Md,,28.8,0.02694946,0.13,nc,nc72041956,2013-09-25T17:45:50.000Z,"7km E of East Foothills, California",earthquake
2013-08-02T11:46:41.000Z,38.7528,-122.7118,1.4,3.2,Ml,,28.8,0.00898315,0.09,nc,nc72041801,2013-09-25T19:12:27.201Z,"4km SE of The Geysers, California",earthquake
2013-08-01T05:52:48.700Z,38.2313,-122.1653,10.9,2.7,Md,,43.2,0.06288207,0.23,nc,nc72041146,2013-09-25T17:53:27.973Z,"2km S of Green Valley, California",earthquake
2013-07-30T01:50:23.600Z,36.6508,-121.2708,5.1,2.6,Md,,39.6,0.01796631,0.09,nc,nc72039811,2013-07-30T19:30:11.159Z,"19km SSE of Ridgemark, California",earthquake
2013-07-29T20:24:26.000Z,37.0525,-121.4855,6.9,2.8,Md,,32.4,0.02694946,0.08,nc,nc72039676,2013-09-23T21:27:30.000Z,"9km NE of Gilroy, California",earthquake
2013-07-28T20:55:17.800Z,38.8047,-122.7908,0.5,2.8,Md,,21.6,0.00898315,0.08,nc,nc72035660,2013-09-23T21:48:05.693Z,"4km NW of The Geysers, California",earthquake
2013-07-25T22:36:37.700Z,38.8102,-122.8113,1.3,3.3,Mw,,25.2,0.00898315,0.07,nc,nc72033555,2013-09-23T21:51:03.422Z,"6km NW of The Geysers, California",earthquake
2013-07-24T00:13:00.200Z,38.4482,-122.7352,8.7,2.9,Mw,,50.4,0.00898315,0.14,nc,nc72032105,2013-09-23T21:27:23.000Z,"2km WNW of Santa Rosa, California",earthquake
2013-07-22T22:02:10.300Z,37.0587,-121.4958,4.4,2.5,Md,,21.6,0.03593261,0.08,nc,nc72031260,2013-07-30T03:41:20.225Z,"8km NE of Gilroy, California",earthquake
2013-07-21T10:38:54.300Z,36.5443,-121.1367,9.2,2.7,Md,,32.4,0.05389892,0.07,nc,nc72030500,2013-07-23T05:11:07.428Z,"21km NE of Soledad, California",earthquake
2013-07-19T04:07:01.800Z,36.569,-121.1625,3.8,3.2,Mw,,32.4,0.01796631,0.09,nc,nc72029235,2013-07-19T21:24:18.233Z,"21km NE of Soledad, California",earthquake
2013-07-18T01:16:10.200Z,38.8088,-122.8185,1.8,3.1,Ml,,25.2,0.00898315,0.06,nc,nc72028470,2013-07-19T06:49:13.823Z,"6km WNW of The Geysers, California",earthquake
2013-07-15T19:02:44.200Z,37.432,-121.772,9.9,3.3,Mw,,50.4,0.05389892,0.14,nc,nc72027430,2013-09-18T07:46:20.625Z,"6km NE of East Foothills, California",earthquake
2013-07-14T22:40:37.600Z,38.8082,-122.7947,3.5,3.7,Mw,,21.6,0,0.05,nc,nc72026710,2013-07-16T01:58:05.979Z,"4km NW of The Geysers, California",earthquake
2013-07-07T00:28:29.500Z,36.6777,-121.2773,6.6,2.8,H,,154.8,0.00898315,0.09,nc,nc72022195,2013-07-16T18:24:17.136Z,"16km SSE of Ridgemark, California",earthquake
2013-07-04T09:39:14.200Z,38.8118,-122.8148,3.4,3.2,Ml,,79.2,0.00898315,0.09,nc,nc71072959,2013-07-06T02:39:08.255Z,"6km NW of The Geysers, California",earthquake
2013-07-03T21:05:00.000Z,36.6392,-121.2555,6,3.4,Ml,,39.6,0.02694946,0.08,nc,nc72020150,2013-07-04T03:03:11.210Z,"21km SSE of Ridgemark, California",earthquake
2013-07-03T21:04:15.500Z,36.6398,-121.2562,6.2,2.7,Md,,39.6,0.02694946,0.09,nc,nc72020145,2013-07-06T04:07:09.954Z,"21km SSE of Ridgemark, California",earthquake
2013-07-03T06:01:58.400Z,36.8557,-121.3195,6.3,2.5,Md,,39.6,0.02694946,0.08,nc,nc72019750,2013-07-08T03:49:45.966Z,"6km NE of Ridgemark, California",earthquake
2013-06-29T14:28:31.400Z,37.6905,-121.6497,1.1,2.8,Md,,126,0.06288207,0.16,nc,nc72017485,2013-07-02T02:20:12.042Z,"10km E of Livermore, California",earthquake
2013-06-28T04:23:46.200Z,36.7633,-121.4727,6.7,2.8,Md,,25.2,0.01796631,0.18,nc,nc72016725,2013-06-30T15:38:56.017Z,"10km WSW of Ridgemark, California",earthquake
2013-06-28T03:52:39.400Z,36.7537,-121.4702,6.9,3.9,Mw,,21.6,0.00898315,0.22,nc,nc72016695,2013-09-18T07:11:46.060Z,"11km WSW of Ridgemark, California",earthquake
2013-06-27T09:09:08.200Z,38.1565,-121.939,20.4,2.5,Md,,46.8,0.10779783,0.36,nc,nc72016220,2013-06-28T04:53:07.586Z,"12km SE of Suisun, California",earthquake
2013-06-26T04:43:20.200Z,38.1517,-121.9317,21.6,2.6,Md,,57.6,0.09881468,0.26,nc,nc72015700,2013-09-25T19:10:48.060Z,"13km SE of Suisun, California",earthquake
2013-06-20T02:04:26.300Z,37.6037,-122.4603,8.1,2.7,Md,,39.6,0.01796631,0.12,nc,nc72011760,2013-06-23T22:44:41.202Z,"2km ESE of Pacifica, California",earthquake
